BioSample Accession	Isolate Name
SAMN05222074	20154709
SAMN05222075	20154710
SAMN05222076	20154712
SAMN05222077	20154713
SAMN05222078	20154714
SAMN05222079	20154715
SAMN05222080	20154716
SAMN05222081	20154717
SAMN05222082	20154718
SAMN05222083	20154719
SAMN05222084	20154720
SAMN05222085	20154721
SAMN05222086	20154722
SAMN05222087	20154723
SAMN05222088	20154724
SAMN05222089	20154725
SAMN05222090	20154726
SAMN05222091	20154727
SAMN05222092	20154728
SAMN05222093	20154729
SAMN05222094	20154730
SAMN05222095	20154731
SAMN05222096	20154732
SAMN05222097	20154733
SAMN05222098	20154736
SAMN05222099	20154737
SAMN05222100	20154738
SAMN05222101	20154739
SAMN05222102	20154740
SAMN05222103	20154741
SAMN05222104	20154742
SAMN05222105	20154744
SAMN05222106	20154745
SAMN05222107	20154746
SAMN05222108	20154747
SAMN05222109	20154748
SAMN05222110	20154749
SAMN05222111	20154750
SAMN05222112	20154752
SAMN05222113	20154753
SAMN05222114	20154754
SAMN05222115	20154755
SAMN05222116	20154756
SAMN05222117	20154757
SAMN05222118	20154758
SAMN05222119	20154759
SAMN05222120	20154760
SAMN05222121	20154761
SAMN05222122	20154762
SAMN05222123	20154763
SAMN05222124	20154764
SAMN05222125	20154765
SAMN05222126	20154766
SAMN05222127	20154769
SAMN05222128	20154770
SAMN05222129	20154771
SAMN05222130	20154772
SAMN05222131	20154773
SAMN05222132	20154774
SAMN05222133	20154775
SAMN05222134	20154776
SAMN05222135	20154777
SAMN05222136	20154778
SAMN05222137	20154860
SAMN05222138	20154861
SAMN05222139	20154862
SAMN05222140	20154863
SAMN05222141	20154864
SAMN05222142	20154865
SAMN05222143	20154866
SAMN05222144	20154867
SAMN05222145	20154868
SAMN05222146	20154869
SAMN05222147	20154871
SAMN05222148	20154872
SAMN05222149	20154873
SAMN05222150	20154874
SAMN05222151	20154875
SAMN05222152	20154876
SAMN05222153	20154877
SAMN05222154	20154878
SAMN05222155	20154879
SAMN05222156	20154880
SAMN05222157	20154881
SAMN05222158	20154882
SAMN05222159	20154883
SAMN05222160	20154884
SAMN05222161	20154885
SAMN05222162	20154886
SAMN05222163	20154887
SAMN05222164	20154888
SAMN05222165	20154889
SAMN05222166	20154890
SAMN05222167	20154891
SAMN05222168	20154892
SAMN05222169	20154893
SAMN05222170	20154894
SAMN05222171	20154895
SAMN05222172	20154896
SAMN05222173	20154897
SAMN05222174	20154898
SAMN05222175	20154899
SAMN05222176	20154900
SAMN05222177	20154901
SAMN05222178	20154902
SAMN05222179	20154903
SAMN05222180	20154904
SAMN05222181	20154905
SAMN05222182	20154906
SAMN05222183	20154907
SAMN05222184	20154908
SAMN05222185	20154909
SAMN05222186	20154910
SAMN05222187	20154911
SAMN05222188	20154912
SAMN05222189	20154913
SAMN05222190	20154914
SAMN05222191	20154915
SAMN05222192	20154916
SAMN05222193	20154917
SAMN05222194	20154918
SAMN05222195	20154919
SAMN05222196	20154920
SAMN05222197	20154921
SAMN05222198	20154922
SAMN05222199	20154923
SAMN05222200	20154924
SAMN05222201	20154925
SAMN05222202	20154926
SAMN05222203	20154927
SAMN05222204	20154928
SAMN05222205	20154929
SAMN05222206	20154930
SAMN05222207	20154931
SAMN05222208	20154932
SAMN05222209	20154933
SAMN05222210	20154934
SAMN05222211	20154935
SAMN05222212	20154936
SAMN05222213	20154937
SAMN05222214	20154938
SAMN05222215	20154939
SAMN05222216	20154940
SAMN05222217	20154941
SAMN05222218	20154942
SAMN05222219	20154978
SAMN05222220	20154980
SAMN05222221	20154981
SAMN05222222	20154982
SAMN05222223	20154983
